"BR001",1,"m","Stephen","Brown","555 Sycamore Ave","Three Corners","ID","97401","2085551237","1992-01-09",6/15/1993 0:00:00
"BR002",1,"m","James","Brown","3454 Adams St","Borderville","OR","97401","5035551222","1992-02-09",6/15/1994 6:00:00
"GR002",1,"f","Wanda","Greenfield","66 Farmaccess Rd","Tall Pines","WA","98401","2065551225","1993-22-01",6/15/1995 12:00:00
"MP003",2,"m","Mountain","Pets","22 Smith Street","Ranier City","WA","98761","2065559254","1989-10-01",6/14/1996 18:00:00
"MP005",1,"m","Mountain","Pets","23 Smith Street","Ranier City","WA","98761","2025559762","1989-10-01",6/15/1997 0:00:00
"YO001",1,"b","Sandra","Young","9122 Bookland Rd","Tall Pines","WA","98412","2065558888","1992-04-12",6/15/1998 6:00:00
"YO002",1,"b","Sandra","Young","9123 Bookland Rd","Tall Pines","WA","98412","2065560972","1992-04-12",6/15/1999 12:00:00
"MC001",1,"b","Margaret","McKinley","5512 Green Acres Ct","Borderville","OR","97412","5035557993","1992-04-12",6/14/2000 18:00:00
"MZ001",3,"b","Municipal","Zoo","14 City Way","Small Tree","OR","97845","5035559256","1992-16-02",6/15/2001 0:00:00
"MZ002",1,"b","Municipal","Zoo","15 City Way","Small Tree","OR","97845","5035559256","1992-16-02",6/15/2002 6:00:00
"WL002",2,"m","We","Love Animals","23 Timber Trail","Lakeville","OR","97846","5035558723","1993-05-10",6/15/2003 12:00:00
"WL004",2,"m","We","Love Animals","24 Timber Trail","Lakeville","OR","97846","5035558723","1993-05-10",6/14/2004 18:00:00
"ZI001",1,"m","Anita","Zimmerman","244 Main St","Mountain View","WA","98405","2065559930","1993-22-02",6/15/2005 0:00:00
"ZI002",1,"m","Anita","Zimmerman","245 Main St","Mountain View","WA","98405","2065562014","1993-22-02",6/15/2006 6:00:00
"PR001",1,"f","William","Primen","1234 Main St","Mountain View","WA","98401","2065551230","1992-11-11",6/15/2007 12:00:00
"PR003",1,"f","William","Primen","986 Main St","Mountain View","WA","98401","2065551230","1992-11-11",6/14/2008 18:00:00
"WI002",1,"m","Barbara","Williamson","64 10th St","Lakeville","OR","97401","5035553212","1993-22-04",6/15/2009 0:00:00
"WI005",1,"m","Barbara","Williamson","65 10th St","Lakeville","OR","97401","5035553212","1993-22-04",6/15/2010 6:00:00
"PO001",1,"m","Tyrone","Potter","9133 Bookland Rd","Three Corners","ID","83412","2085551199","1993-11-03",6/15/2011 12:00:00
"RH001",1,"m","Karen","Rhodes","3403 37th Ave","Russettown","ID","83412","2085559113","1992-11-11",6/14/2012 18:00:00
"PO002",1,"m","Tyrone","Potter","9134 Bookland Rd","Three Corners","ID","83412","2085551199","1993-11-03",6/15/2013 0:00:00
